code,name,market,category,riskLevel,personality,profit1,profit1_reason,profit1_source,profit2,profit2_reason,profit2_source,profit3,profit3_reason,profit3_source,key1,key1_reason,key1_source,key2,key2_reason,key2_source,key3,key3_reason,key3_source,risk1,risk1_reason,risk1_source,risk2,risk2_reason,risk2_source,risk3,risk3_reason,risk3_source,reminder
2012,春雨,上市鋼鐵,,,扣件傳奇,車用/軌道扣件(高毛利),,,建築螺絲,,,印尼/美國廠營運,,,全球汽車銷量,,,美國房市與基建數據,,,鎳/鋼價成本轉嫁能力,,,匯率升值(出口導向),,,關稅壁壘(反傾銷),,,歐美經濟衰退,,,台灣扣件龍頭，正積極轉型高附加價值(車用、軌道)，脫離秤斤論兩的紅海。
2010,春源,上市鋼鐵,,,多元鋼鐵服務,營建鋼板/鋼構,,,車用沖壓件(Toyota供應鏈),,,特殊鋼買賣,,,國內汽車銷售量,,,營建開工樓地板面積,,,鋼價庫存利益,,,汽車產業供應鏈調整,,,貿易部門毛利過低,,,房市景氣下行,,,業務極度分散(車用、營建、機械)，雖無爆發力但抗跌性強，是防禦型標的。
2009,第一銅,上市鋼鐵,,,單純且敏感的「銅價」連動股，電子業的上游,黃銅片與青銅片,,,磷青銅片,,,各類銅合金,,,LME銅價水位,,,電子業去庫存速度,,,車用電子需求,,,銅價暴跌,,,美元轉強壓制銅價,,,產品替代風險,,,看銅價做第一銅，是這檔股票唯一的致勝金律
2008,高興昌,上市鋼鐵,,,資產型鋼管廠,API石油鋼管,,,鍍鋅鋼管,,,土地資產開發,,,高雄亞灣區開發進度,,,國際油價(影響油管需求),,,政府水利/管線標案,,,本業獲利能力長期低迷,,,資產開發時程延宕,,,匯率波動,,,買這檔主要是在買「高雄土地資產」的重估價值，本業鋼管僅是配角。
2007,燁興,上市鋼鐵,,,電爐盤元廠,不鏽鋼盤元,,,碳鋼盤元,,,快削鋼,,,廢鋼/鎳價成本,,,義聯集團資源整合,,,下游客戶(螺絲廠)需求,,,高負債比(集團特性),,,電費調漲壓力,,,螺絲產業景氣寒冬,,,義聯集團成員，營運受集團策略影響大，與螺絲產業景氣榮枯與共。
2006,東和鋼鐵,上市鋼鐵,,,台灣電爐鋼龍頭，獲利穩健且具備極強的營建關聯性,鋼筋(營建用),,,H型鋼(廠房用),,,廢鋼貿易,,,廢鋼收購價格,,,國內建築執照核發數,,,台商回流建廠需求,,,電費成本上漲,,,打房政策影響建案,,,廢鋼供應短缺,,,內需建材股的首選，獲利穩定性遠高於外銷為主的鋼廠
2002,中鋼,上市鋼鐵,,,台灣鋼鐵產業的定海神針，盈虧牽動整體傳產氣息,鋼板與熱軋鋼捲,,,中龍/中鴻等轉投資,,,材料貿易與綠能事業,,,中鋼盤價走勢,,,鐵礦砂成本,,,中國鋼鐵減產政策,,,國際煤鐵報價暴漲,,,全球需求疲軟,,,碳費徵收壓力,,,它是產業風向球，盤價開高通常預示鋼鐵股集體行情
TSE21,橡膠,上市橡膠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6582,申豐,上市橡膠,,,高毛利合成橡膠利基型製造商,丁腈橡膠（NBR）銷售,,,醫療與手套產業需求,,,產品差異化帶來的毛利優勢,,,NBR報價走勢,,,毛利率變化,,,產能利用率,,,手套產業景氣反轉,,,原料丁二烯價格波動,,,產能過剩導致價格下滑,,,屬於報價循環股，需觀察產品價差而非只看營收
2114,鑫永銓,上市橡膠,,,傳動帶與工業用橡膠製品專家,傳動帶產品銷售,,,工業設備耗材需求,,,外銷市場訂單,,,外銷比重,,,毛利率穩定度,,,營收成長率,,,景氣循環影響設備投資,,,匯率波動,,,低價競爭壓力,,,關注全球製造業景氣循環變化
2109,華豐,上市橡膠,,,中國市場導向輪胎廠,汽機車輪胎銷售,,,中國內需市場,,,OEM代工訂單,,,中國車市銷量,,,毛利率,,,負債比率,,,中國市場競爭激烈,,,價格戰,,,匯率與貿易政策風險,,,高度依賴單一市場，需評估區域風險
2108,南帝,上市橡膠,,,全球NBR乳膠龍頭供應商,NBR乳膠銷售,,,醫療手套需求,,,高市佔率帶來規模優勢,,,NBR乳膠報價,,,營業利益率,,,庫存水位,,,手套庫存調整,,,報價急跌,,,原料成本上升,,,需觀察產業庫存週期，避免追高報價高峰
2107,厚生,上市橡膠,I099030,,資產型橡膠老廠,橡膠製品銷售,,,不動產資產價值,,,轉投資收益,,,資產重估題材,,,營業外收入,,,本業獲利能力,,,本業競爭力不足,,,資產處分不如預期,,,低成長性,,,評價核心在資產價值而非本業成長
2106,建大,上市橡膠,,,全球布局的輪胎製造商,自行車與機車輪胎,,,汽車替換胎市場,,,海外產能布局,,,全球替換胎需求,,,毛利率,,,產能利用率,,,原料價格波動,,,歐美需求下滑,,,庫存壓力,,,屬成熟產業，關鍵在成本控制能力
2105,正新,上市橡膠,,,台灣輪胎龍頭品牌廠,自有品牌輪胎銷售,,,全球替換胎市場,,,規模經濟壓低成本,,,品牌市佔率,,,營業利益率,,,原料成本佔比,,,原物料成本上升,,,中國市場競爭,,,匯率波動,,,龍頭優勢在規模，但成長性有限
2104,國際中橡,上市橡膠,,,碳黑與特用化學材料供應商,碳黑銷售,,,特用化學材料,,,海外據點營運,,,碳黑報價,,,原油價格,,,營業利益率,,,油價波動,,,輪胎產業需求減弱,,,環保政策成本上升,,,需同步觀察油價與輪胎景氣循環
2103,台橡,上市橡膠,,,合成橡膠上游原料供應商,合成橡膠銷售,,,特用橡膠產品,,,中國市場需求,,,丁二烯價格,,,價差表現,,,產能利用率,,,上游原料劇烈波動,,,中國需求疲弱,,,報價下跌循環,,,本質為化工循環股，需抓價差轉折點
2102,泰豐,上市橡膠,I099030,,轉型中的資產與輪胎雙軌公司,輪胎銷售,,,土地資產價值,,,轉型處分利益,,,資產活化進度,,,營業外收入,,,本業毛利率,,,本業競爭力不足,,,資產處分延遲,,,財務壓力,,,評價偏資產題材，需注意一次性收益風險
2101,南港,上市橡膠,I099030,,老牌輪胎廠兼具資產題材,輪胎銷售,,,土地開發利益,,,轉投資收益,,,土地開發進度,,,營業利益率,,,負債結構,,,房市景氣反轉,,,本業獲利不穩,,,一次性收益依賴度高,,,需區分本業價值與資產價值來源
TSE22,汽車,上市汽車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605,帝寶,上市汽車,J000170,,AM車燈燈王,AM頭燈/尾燈(全球市佔第一),,,車燈模具開發,,,改裝車燈市場,,,北美State Farm認證數,,,海運運價指數,,,匯率(台幣/美元),,,反托拉斯法訴訟風險,,,專利侵權糾紛,,,運費飆漲侵蝕獲利,,,全球AM車燈霸主，只要美國人還在開車撞車，它的獲利就源源不絕。
6288,聯嘉,上市汽車,J000170|I023060,,特斯拉的光源,LED車燈模組,,,特斯拉/GM尾燈訂單,,,節能號誌燈,,,特斯拉交車量,,,密西根廠良率,,,LED滲透率,,,美國廠勞工成本過高,,,單一客戶佔比高,,,新車款認證延遲,,,跟著特斯拉吃肉的車燈模組廠，但美國廠的生產效率是獲利殺手。
4581,光隆精密-KY,上市汽車,,,商用車心臟,商用車引擎零件,,,廢氣再循環系統(EGR),,,風力發電零件,,,北美卡車銷售量,,,最大客戶(Cummins)展望,,,原物料(生鐵/廢鋼),,,環保法規趨嚴,,,全球物流放緩,,,匯率波動,,,專做這種「又大又重」的商用車零件，競爭者少，獲利穩健如牛。
4569,六方科-KY,上市汽車,,,精密加工百寶箱,車用精密零件,,,醫療器材零件,,,光通訊/工業應用,,,泰國廠產能利用率,,,新應用(無人機/AI)佔比,,,毛利率變化,,,產品線過雜缺乏聚焦,,,匯率(泰銖/美金),,,單一客戶砍單,,,雖然歸類在汽車，其實是精密加工廠，醫療與工業應用才是提升毛利的關鍵。
4557,永新-KY,上市汽車,I022020,,煞車系統專家,AM煞車分泵/總泵,,,卡鉗,,,電動車煞車片,,,北美AM市場需求,,,比亞迪(BYD)訂單滲透率,,,庫存周轉天數,,,海運運費高漲,,,電動車煞車系統改變,,,匯率波動,,,北美煞車AM龍頭，近年積極切入比亞迪供應鏈，試圖抓住電動車商機。
4551,智伸科,上市汽車,J001240|I022020,,雙引擎驅動,ABS/ESC煞車閥,,,醫療手術器械,,,硬碟/電子零件,,,汽車銷量(中國/歐美),,,醫療產品認證進度,,,新廠折舊攤提,,,燃油車銷量下滑,,,醫療客戶庫存調整,,,中國車市殺價競爭,,,汽車與醫療雙腳走路，當車市不好時，醫療業務是重要的防禦護城河。
3346,麗清,上市汽車,,,中國車燈之眼,LED車燈模組(中國OEM),,,頭燈控制器,,,小米汽車/電動車訂單,,,中國車市銷量,,,電動車LED滲透率,,,觀音廠稼動率,,,中國車廠價格戰,,,應收帳款回收天期,,,庫存跌價損失,,,高度依賴中國車市，小米汽車與電動車新勢力的訂單是最大看點。
2497,怡利電,上市汽車,,,虛擬座艙魔術師,抬頭顯示器(HUD),,,車載影音導航,,,ADAS駕駛輔助,,,中國電動車HUD搭載率,,,3D AR-HUD出貨量,,,東南亞車市需求,,,新技術研發燒錢,,,中國車市殺價紅海,,,晶片短缺/漲價,,,HUD技術領先，但戰場在最血腥的中國電動車市場，毛利極易受壓縮。
2258,鴻華先進-創,上市汽車,,,電動車代工平台,Model C (Luxgen n7)銷售,,,電動巴士(Model T),,,技術授權費,,,納智捷n7交車數,,,海外客戶(美/東南亞)簽約,,,CDMS商業模式成效,,,單一客戶(納智捷)依賴,,,現金流消耗速度,,,規模經濟尚未達成,,,鴻海電動車夢想的載體，目前營收全看n7臉色，急需海外第二個客戶。
2254,巨鎧精密-創,上市汽車,I022020,,奢華改裝燈匠,改裝車燈(Coplus),,,水箱護罩,,,發光飾件,,,新產品開發速度,,,美國改裝市場買氣,,,專利訴訟勝率,,,市場規模小(利基型),,,高單價產品受景氣影響,,,流動性風險(創櫃),,,不做大眾市場，專攻「不想跟別人一樣」的改裝玩家，毛利高但量少。
2250,IKKA-KY,上市汽車,I022020,,豐田的小螺絲,電子手煞車(EPB)零件,,,電裝系統齒輪,,,TOTO免治馬桶零件,,,豐田(Toyota)全球銷量,,,名古屋廠營運,,,日圓匯率走勢,,,日本汽車供應鏈斷鏈,,,豐田生產計畫下修,,,原料成本上升,,,流著日本血液的豐田Tier 2供應商，豐田好它就好，日圓貶值對它有利。
2247,汎德永業,上市汽車,,,豪華車銷售王,BMW新車銷售,,,Porsche新車銷售,,,原廠維修保養服務,,,豪華車到港掛牌數,,,維修保養收入佔比,,,主力車款改款週期,,,原廠配額不足,,,豪車買氣受股市影響,,,缺工影響維修量能,,,台灣最有錢人的生意，維修保養的「售後服務」才是真正的獲利金雞母。
2243,宏旭-KY,上市汽車,I022020,,車殼模具匠,汽車板金模具,,,檢具,,,中國車廠訂單,,,中國車市新車開發數,,,模具驗收進度,,,應收帳款週轉率,,,中國車廠倒閉壞帳,,,同業低價搶單,,,現金流緊張,,,高度依賴中國自主品牌車廠的開發案，風險極高，近年營運頗為掙扎。
2241,艾姆勒,上市汽車,I022020,,電動車散熱芯,電動車逆變器散熱模組,,,ADAS散熱,,,水冷散熱板,,,IGBT散熱需求,,,大客戶(Tier 1)認證,,,銅價成本,,,電動車銷量不如預期,,,新技術替代風險,,,良率提升緩慢,,,技術很高端(粉末冶金散熱)，但獲利一直不穩定，典型的「叫好不叫座」。
2239,英利-KY,上市汽車,I022020,,福斯的鈑金手,車身結構件(沖壓/熱壓),,,電池殼體,,,儀表板支架,,,一汽大眾產銷量,,,Volvo/電動車訂單佔比,,,鋼材價格,,,中國燃油車市佔下滑,,,電動車價格戰擠壓毛利,,,人民幣匯率波動,,,中國福斯(VW)的核心供應商，成也大眾敗也大眾，正痛苦轉型電動車零件。
2236,百達-KY,上市汽車,I022020,,沖壓機器人雙刀,汽機車沖壓設備,,,汽車零組件(排氣/門鎖),,,服務型機器人,,,比亞迪(BYD)訂單,,,機器人租賃收入,,,設備出貨驗收,,,中國車市波動,,,新業務推廣不如預期,,,匯率風險,,,除了做汽車沖壓，還有「保全機器人」題材，是比亞迪供應鏈的一員。
2233,宇隆,上市汽車,I022020,,精密金屬全能,汽車噴油嘴零件(Bosch),,,自行車零件(Fox),,,醫療器材,,,Bosch訂單展望,,,自行車庫存去化,,,氫燃料電池零件進度,,,燃油車長期衰退風險,,,大客戶砍價壓力,,,原料成本波動,,,精密加工的資優生，雖然燃油車噴油嘴是金牛，但自行車與醫療才是成長動力。
2231,為升,上市汽車,,,感測器專利王,胎壓偵測器(TPMS),,,雷達感測器,,,開關感測器,,,TPMS全球滲透率,,,專利訴訟判決,,,ADAS滲透率,,,專利訴訟費用高昂,,,匯率波動,,,新競爭者進入TPMS市場,,,過去靠TPMS專利賺翻，現在靠雷達與ADAS，但常陷於耗時的國際官司。
2228,劍麟,上市汽車,I022020,,安全帶守護者,安全帶預縮器零件,,,氣囊充氣殼體,,,方向盤轉向系統,,,全球新車銷售量,,,波蘭廠產能利用率,,,平均單車安全配備產值,,,原物料價格上漲,,,單一客戶(Autoliv)依賴,,,匯率變動,,,做的是「被動安全」零件，不管油車電車都要裝安全帶與氣囊，業績穩健。
2227,裕日車,上市汽車,,,日產的投資者,Nissan/Infiniti銷售,,,中國轉投資收益(東風日產),,,汽車零件銷售,,,東風日產獲利狀況,,,國產車市佔率,,,新車款(X-Trail)銷量,,,中國車市內捲嚴重,,,本業銷售低迷,,,匯率風險(日圓/人民幣),,,本業賣車賺辛苦錢，主要獲利來源是「中國東風日產」的業外投資收益。
2207,和泰車,上市汽車,,,台灣車市霸主,Toyota/Lexus銷售,,,汽車金融(和潤),,,產險與租賃,,,台灣新車掛牌數,,,Lexus豪車佔比,,,轉投資獲利(和潤/和泰產),,,防疫險理賠餘波(已過),,,原廠缺車/漲價,,,匯率(日圓),,,台灣車王，擁有最強的銷售通路與周邊生態系(保險、金融、yoxi)，獲利能力驚人。
2206,三陽工業,上市汽車,I099030,,二輪之王,SYM機車銷售,,,Hyundai汽車代理,,,資產開發(內湖),,,機車市佔率(冠軍),,,現代汽車銷量,,,房地產處分利益,,,機車市場飽和,,,促銷戰侵蝕毛利,,,原物料成本,,,靠著高階機車奪回市佔第一，加上現代汽車熱賣與資產題材，是近年車股黑馬。
2204,中華,上市汽車,,,商用車霸主,MG品牌銷售,,,商用貨卡(Veryca),,,三菱汽車,,,MG車系掛牌數,,,輕型商用車市佔,,,國產化自製率政策,,,MG自製率政策限制,,,商用車競品(Toyota Town Ace),,,電動車轉型壓力,,,靠MG品牌翻身，但受限於政府「自製率」新政，未來MG的銷量是最大變數。
2201,裕隆,上市汽車,I099030,,台灣汽車母艦,納智捷(n7)品牌,,,日產汽車製造,,,裕隆城租金收入,,,納智捷n7交車量,,,新店裕隆城人流,,,轉投資(裕融/中華)貢獻,,,自主品牌燒錢風險,,,電動車研發成本,,,防疫險虧損(已過),,,現在是「房東」(裕隆城)加上「代工廠」(n7)，終於擺脫過去自主品牌的鉅額虧損泥淖。
2115,六暉-KY,上市汽車,I022020,,氣門嘴世界冠軍,輪胎氣門嘴(腳踏車/汽車),,,TPMS氣門嘴,,,金屬加工,,,全球輪胎產量,,,TPMS滲透率,,,銅/橡膠原料價格,,,原物料價格劇烈波動,,,電動車對輪胎磨損快(利多?),,,匯率風險,,,不起眼的小零件(氣門嘴)，卻做到世界第一，獲利極度穩定，適合存股。
1587,吉茂,上市汽車,I022020,,水箱散熱專家,AM汽車水箱,,,電動車散熱,,,冷凝器,,,墨西哥廠產能進度,,,鋁價走勢,,,北美AM市場需求,,,墨西哥廠良率/成本,,,運費高漲,,,匯率波動,,,主攻AM水箱，墨西哥設廠是為了就近供應北美，但初期成本是個負擔。
1568,倉佑,上市汽車,I022020,,變速箱加工廠,自動變速箱零件,,,重型卡車零件,,,電動車減速箱,,,北美車市銷售,,,電動車零件佔比,,,原物料成本,,,電動車不需要傳統變速箱,,,主要客戶砍單,,,匯率風險,,,受電動車趨勢衝擊最大(因為電動車少了很多變速箱零件)，正努力轉型。
1536,和大,上市汽車,I022020,,特斯拉減速齒輪,電動車減速齒輪箱,,,燃油車傳動軸,,,AI機器人關節,,,特斯拉交車量,,,美國廠建廠成本,,,新客戶(BorgWarner)訂單,,,美國廠成本失控,,,電動車市場殺價,,,機器人題材泡沫,,,特斯拉的核心供應商，但近期受累於美國設廠的高昂成本與電動車市況趨緩。
1533,車王電,上市汽車,,,電巴與工具機,車用電子零件,,,電動巴士(華德動能),,,氣動工具,,,電動巴士交車量,,,美國子公司營收,,,政府公車電動化預算,,,電動巴士標案延宕,,,轉投資虧損,,,市場競爭激烈,,,本業車電平平，夢想全在子公司「華德動能」的電動巴士上。
1525,江申,上市汽車,,,貨卡車架大王,貨車車架,,,電動巴士車架,,,轉投資中國(廣州恩梯恩),,,國內物流車需求,,,轉投資收益(中國),,,鋼材價格,,,中國轉投資獲利衰退,,,商用車景氣循環,,,電巴推廣速度慢,,,本業做車架很穩，但過往龐大的業外收益(中國轉投資)正隨著中國車市內捲而縮水。
1524,耿鼎,上市汽車,,,板金件老牌,AM汽車板金(葉子板/引擎蓋),,,模具開發,,,檢具,,,北美State Farm認證數,,,新台幣匯率,,,鋼材成本,,,反傾銷稅調查,,,海運運費,,,匯率波動,,,老牌AM板金廠，受惠美國保險公司擴大使用AM件，近年獲利大爆發。
1522,堤維西,上市汽車,,,AM車燈二哥,AM頭燈/尾燈,,,OEM車燈(主要在中國),,,改裝車燈,,,State Farm認證進度,,,底特律廠量產狀況,,,海運運費,,,美國產險政策變動,,,中國OEM業務虧損,,,運費侵蝕獲利,,,與帝寶並列，積極在底特律設廠直接供應美國車廠，是其差異化策略。
1521,大億,上市汽車,,,OEM車燈龍頭,OEM車燈(國內車廠/外銷),,,模具,,,航太零件,,,台灣新車產量,,,日圓匯率(技術母廠),,,主要客戶(Mazda)外銷量,,,日圓升值增加成本,,,國產車市佔萎縮,,,轉投資虧損,,,主要做原廠(OEM)生意，雖然穩定但缺乏AM市場的暴利，受國產車市況影響大。
1512,瑞利,上市汽車,,,板金件苦主,汽車板金OEM,,,模具,,,飛機零件,,,主要客戶(納智捷/中華)銷量,,,財務結構改善進度,,,新車款訂單,,,長期虧損/財務危機,,,產能利用率低,,,資金周轉困難,,,曾經的板金大廠，因過度依賴特定客戶且轉型不順，近年財務狀況嚴峻。
1339,昭輝,上市汽車,,,保桿塑膠王,AM塑膠保桿,,,水箱護罩,,,電鍍飾件,,,北美AM市場需求,,,State Farm認證數,,,塑膠原料(PP/ABS)價格,,,海運缺櫃/運費,,,反傾銷調查,,,匯率波動,,,專攻AM塑膠件(保桿)，與板金廠一樣，是這波美國保險政策紅利的直接受益者。
1338,廣華-KY,上市汽車,,,內飾轉印大師,汽車內飾件(水轉印/塗裝),,,面板飾條,,,光飾件,,,中國日系車廠銷量,,,比亞迪/電動車訂單,,,人民幣匯率,,,中國車市價格戰,,,日系客戶市佔崩跌,,,人工成本上升,,,主戰場在中國，且高度依賴日系車(Toyota/Honda/Nissan)，深受中國車市「油轉電」與價格戰之苦。
1319,東陽,上市汽車,,,全球保桿大王,AM塑膠件(保桿/水箱罩),,,OEM內裝儀表,,,板金件,,,State Farm擴大採用AM件,,,海運運價指數,,,模具開發數量,,,美國保險公司政策轉向,,,運費飆漲,,,匯率風險,,,全球最大的AM塑膠件廠，擁有最強的模具開發能力與CAPA認證數，是AM族群的領頭羊。
TSE25,建材營造,上市建材營造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9946,三發地產,上市建材營造,,,高雄代銷轉建商,住宅建案銷售,,,商辦租賃,,,音樂展演(金革),,,建案完工入帳,,,高雄房市買氣,,,土地庫存,,,南部房市過熱修正,,,餘屋去化速度,,,政策打房,,,從代銷起家轉型建商，擅長高雄與台南市場，推案節奏靈活。
9906,欣巴巴,上市建材營造,J000810,,南部透天王轉大樓,住宅大樓銷售,,,透天別墅,,,土地開發,,,高雄/台南建案進度,,,預售屋銷售率,,,營建成本,,,南部房價漲幅收斂,,,缺工延後交屋,,,升息影響買氣,,,深耕南台灣，近年從透天轉攻高樓層住宅，受惠南部科技園區題材。
6177,達麗,上市建材營造,,,全台獵地手,住宅建案(北中南),,,美國商場收租,,,捷運聯開案,,,全台推案量,,,美國資產收益,,,股利配發率,,,推案戰線過長,,,營建成本高漲,,,打房政策衝擊,,,推案遍及全台主要都會區，並有美國商場穩定收益，股性活潑。
5546,永固-KY,上市建材營造,,,重慶混凝土王,預拌混凝土(中國),,,水泥製品,,,環保建材,,,重慶基建進度,,,應收帳款回收天數,,,水泥價格,,,中國房市泡沫,,,基建撥款延宕,,,壞帳風險,,,主要市場在中國重慶，獲利高度依賴當地基建與房市，需嚴控應收帳款。
5534,長虹,上市建材營造,,,營建資優生,高級住宅銷售,,,商辦大樓(內湖/南港),,,廠辦,,,商辦租金收益,,,完工入帳EPS,,,現金殖利率,,,商辦市場供給過剩,,,豪宅稅限制,,,北市土地取得難,,,財務結構極佳，商辦與住宅雙引擎，是營建股中的績優定存標的。
5533,皇鼎,上市建材營造,,,飯店與商辦,商辦/廠辦銷售,,,富信飯店營運,,,住宅建案,,,商辦去化速度,,,飯店住房率,,,資產活化,,,商辦市場飽和,,,觀光業景氣波動,,,餘屋庫存,,,主要獲利來自商辦銷售與飯店經營，資產價值高，具防禦性。
5531,鄉林,上市建材營造,I027012,,涵碧樓推手,住宅建案,,,涵碧樓飯店(兩岸),,,商業不動產,,,兩岸推案進度,,,飯店住房率,,,負債比率,,,中國房市風暴,,,高財務槓桿,,,成都/青島案延宕,,,品牌形象極佳(涵碧樓)，但財務槓桿較高，且受中國房市低迷拖累較深。
5525,順天,上市建材營造,,,台中豪宅品牌,高級住宅,,,商辦大樓,,,工業區開發,,,台中房市交易量,,,商辦出租率,,,工業區銷售,,,台中房市供給過大,,,打房政策,,,營造成本,,,深耕台中的老牌建商，品牌溢價能力強，近年積極開發商辦與工業區。
5522,遠雄,上市建材營造,,,廠辦造鎮王,住宅造鎮(全台),,,廠辦大樓(汐止/南港),,,巨蛋園區(BOT),,,全台推案量,,,巨蛋營運狀況,,,預售屋銷售率,,,大巨蛋政治風險(已解),,,推案量大庫存高,,,升息壓力,,,全台推案量最大的建商之一，擅長大型造鎮與廠辦，大巨蛋啟用後有新題材。
5521,工信,上市建材營造,I025020,,公共工程硬漢,公共工程(道路/橋梁),,,隧道工程,,,捷運工程,,,在手標案金額,,,工程毛利率,,,政府預算進度,,,原物料價格暴漲,,,工程延宕罰款,,,低價搶標風險,,,專做政府公共工程，獲利微薄但穩定，受惠前瞻計畫與基建預算。
5519,隆大,上市建材營造,,,高雄營建地頭蛇,住宅建案(高雄),,,公共工程,,,透天別墅,,,高雄房市熱度,,,建案完工入帳,,,公共工程標案,,,南部房價修正,,,缺工問題,,,政策打房,,,高雄在地老牌建商，推案穩健，受惠台積電高雄設廠效應。
5515,建國,上市建材營造,I025020,,工程營造商,建築工程,,,土木工程,,,機電工程,,,科技廠房訂單,,,工程毛利,,,原物料價格,,,科技廠擴廠放緩,,,工程款追加困難,,,缺工成本,,,主要承接科技廠房與公共工程，獲利隨景氣循環與原物料成本波動。
3703,欣陸,上市建材營造,I025020,,營建控股,大陸工程(營造),,,大陸建設(房產),,,欣達環工(水資源),,,在手工程案量,,,房產銷售入帳,,,環工水務營收,,,公共工程毛利低,,,房市景氣反轉,,,控股折價,,,旗下擁有營造、建設與環工三大引擎，獲利結構多元且穩健。
3266,昇陽,上市建材營造,I025010,,營建與營造,住宅建案(昇陽建設),,,營造工程,,,都市更新,,,都更案進度,,,預售屋銷售,,,營造毛利,,,都更整合期長,,,政策打房,,,營造成本,,,以高品質營造與都更案聞名，推案速度較慢但品質有保證。
3056,富華新,上市建材營造,I025010,,台中造鎮王,住宅造鎮(北屯),,,商場經營,,,土地開發,,,台中北屯房價,,,造鎮案銷售率,,,營建成本,,,改名(原總太)後品牌認知,,,單一區域供給過大,,,打房政策,,,原名總太地產，專攻台中北屯大型造鎮案，成本控制能力強。
3052,夆典,上市建材營造,I025010|I025020,,儀控轉營建,住宅/廠辦建案,,,機電儀控工程,,,工業區開發,,,嘉義/台南建案,,,機電標案,,,工業區土地銷售,,,房市景氣,,,工程延宕,,,轉型成效,,,結合了機電工程背景的建商，近年在嘉義等地有大型開發案。
2923,鼎固-KY,上市建材營造,I025010,,中國地產包租公,商辦租賃(上海/重慶),,,住宅銷售,,,商場經營,,,上海商辦出租率,,,中國房市政策,,,人民幣匯率,,,中國經濟通縮,,,房產泡沫化,,,資產價值減損,,,主要資產都在中國(上海/重慶)，靠收租與賣房，高度連結中國房地產景氣。
2597,潤弘,上市建材營造,I025020,,預鑄營造王,高科技廠房營造,,,預鑄工法構件,,,統包工程,,,台積電擴廠進度,,,預鑄產能利用率,,,高現金殖利率,,,半導體資本支出縮減,,,原料成本,,,缺工(預鑄影響較小),,,潤泰集團成員，擁有獨家「預鑄工法」，施工快、品質好，是科技廠建廠首選。
2548,華固,上市建材營造,I025010,,商辦住宅雙棲,高級住宅,,,A級商辦,,,廠辦,,,商辦預售狀況,,,年度完工案量,,,高現金股利,,,北市土地取得難,,,豪宅稅,,,囤房稅,,,營建股的績優生，推案精準(專攻北市商辦與豪宅)，獲利與配息極度穩定。
2547,日勝生,上市建材營造,I025010,,BOT軌道經濟,京站百貨(BOT),,,住宅建案(聯開案),,,水資源回收(中鼎),,,百貨人流營收,,,建案完工,,,水資源穩定收益,,,BOT案折舊攤提,,,地上權住宅抗性,,,百貨競爭,,,靠「京站」百貨與捷運聯開案起家，現在積極拓展循環經濟(水資源/廢棄物)。
2546,根基,上市建材營造,I025020,,冠德御用營造,冠德建設建案,,,高科技廠房,,,公共工程,,,冠德推案量,,,科技廠訂單,,,高殖利率,,,房市景氣下滑,,,原物料成本,,,母公司依賴,,,冠德建設子公司，主要承接母公司建案與高科技廠房，業績穩健。
2545,皇翔,上市建材營造,I025010,,信義區豪宅王,豪宅銷售(皇翔御琚),,,商辦建案,,,飯店(萬豪),,,豪宅去化速度,,,商辦租金/銷售,,,股利政策,,,豪宅稅/信用管制,,,餘屋庫存高,,,飯店營收波動,,,手握信義區頂級豪宅與精華地段土地，資產價值極高，但豪宅去化速度慢。
2543,皇昌,上市建材營造,,,公共工程專門,捷運工程,,,海事工程,,,橋梁,,,在手標案金額,,,工程毛利率,,,政府預算,,,低價搶標風險,,,原物料暴漲,,,工期延宕罰款,,,專攻高難度的海事與捷運工程，受惠政府前瞻計畫。
2542,興富發,上市建材營造,I025010,,獵地營收王,首購宅(全台),,,商辦大樓,,,購物中心,,,年度推案量(千億級),,,土地庫存量,,,預售屋銷售率,,,高財務槓桿,,,打房政策首當其衝,,,工安事件影響,,,全台推案量最大的「獵地王」，周轉率高，敢衝敢借，是房市多頭的最大贏家。
2540,愛山林,上市建材營造,,,代銷轉建商,房地產代銷(甲山林),,,自建案銷售,,,飯店,,,全台房市代銷量,,,自建案完工比例,,,廣告行銷費用,,,房市急凍(代銷受創),,,自建案銷售風險,,,政策打房,,,台灣代銷龍頭(甲山林)，近年積極轉型自建商，獲利爆發力強但波動也大。
2539,櫻花建,上市建材營造,I025010,,寶佳體系資優生,住宅建案(台中/彰化/桃園),,,首購宅,,,土地開發,,,台中房市買氣,,,推案完工量,,,高殖利率,,,單一集團(寶佳)色彩,,,打房影響首購,,,營建成本,,,寶佳集團成員，專攻剛性需求的首購宅，推案節奏快且精準，配息大方。
2538,基泰,上市建材營造,I025010,,北市都更建商,住宅建案,,,商辦,,,都更整合,,,大直工安事件後續,,,都更案進度,,,資產處分,,,工安賠償風險,,,品牌形象受損,,,銀行融資緊縮,,,深耕台北市的建商，因大直工安事件受創，目前處於重建品牌與處理賠償的階段。
